Title,Price,Beds,Baths,Sqft,Amenities,URL
Monthly Parking Only! Call Today,$350,N/A,N/A,N/A,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-monthly-parking-only-call/7915008101.html
1660 Bay #201 - Charming 1x1 - WD in Unit - Perfect Location,"$4,435",N/A,N/A,N/A,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1660-bay-charming-1x1-wd/7918916726.html
"Video entry system, Building surveillance","$4,395",N/A,N/A,N/A,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-video-entry-system/7918078388.html
"Ceiling fan, Street Parking, Blinds","$1,845",N/A,N/A,N/A,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ceiling-fan-street/7918915749.html
"Quartz countertops, Custom-designed cabinets, Bike Room",N/A,N/A,N/A,N/A,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quartz-countertops-custom/7918912800.html
